"Cód.","Município","2019"
"1710904","Itapiratins (TO)","74384"
"1711100","Itaporã do Tocantins (TO)","46519"
"1711506","Jaú do Tocantins (TO)","63998"
"1711803","Juarina (TO)","30599"
"1711902","Lagoa da Confusão (TO)","527336"
"1711951","Lagoa do Tocantins (TO)","45685"
"1712009","Lajeado (TO)","68337"
"1712157","Lavandeira (TO)","25746"
"1712405","Lizarda (TO)","38789"
"1712454","Luzinópolis (TO)","45659"
"1712504","Marianópolis do Tocantins (TO)","146855"
"1712702","Mateiros (TO)","185915"
"1712801","Maurilândia do Tocantins (TO)","41931"
"1713205","Miracema do Tocantins (TO)","614500"
"1713304","Miranorte (TO)","286024"
"1713601","Monte do Carmo (TO)","184901"
"1713700","Monte Santo do Tocantins (TO)","38118"
"1713809","Palmeiras do Tocantins (TO)","73813"
"1713957","Muricilândia (TO)","47542"
"1714203","Natividade (TO)","156567"
"1714302","Nazaré (TO)","48633"
"1714880","Nova Olinda (TO)","312101"
"1715002","Nova Rosalândia (TO)","56566"
"1715101","Novo Acordo (TO)","61672"
"1715150","Novo Alegre (TO)","29337"
"1715259","Novo Jardim (TO)","30832"
"1715507","Oliveira de Fátima (TO)","20798"
"1715705","Palmeirante (TO)","88640"
"1715754","Palmeirópolis (TO)","124922"
"1716109","Paraíso do Tocantins (TO)","1389365"
"1716208","Paranã (TO)","243093"
"1716307","Pau D'Arco (TO)","70359"
"1716505","Pedro Afonso (TO)","478127"
"1716604","Peixe (TO)","754102"
"1716653","Pequizeiro (TO)","78631"
"1716703","Colméia (TO)","151861"
"1717008","Pindorama do Tocantins (TO)","58384"
"1717206","Piraquê (TO)","56933"
"1717503","Pium (TO)","196563"
"1717800","Ponte Alta do Bom Jesus (TO)","53250"
"1717909","Ponte Alta do Tocantins (TO)","93336"
"1718006","Porto Alegre do Tocantins (TO)","34849"
"1718204","Porto Nacional (TO)","1868578"
"1718303","Praia Norte (TO)","80909"
"1718402","Presidente Kennedy (TO)","52470"
"1718451","Pugmil (TO)","63457"
"1718501","Recursolândia (TO)","47714"
"1718550","Riachinho (TO)","51889"
"1718659","Rio da Conceição (TO)","23166"
"1718709","Rio dos Bois (TO)","54771"
"1718758","Rio Sono (TO)","78948"
"1718808","Sampaio (TO)","44538"
"1718840","Sandolândia (TO)","78446"
"1718865","Santa Fé do Araguaia (TO)","124557"
"1718881","Santa Maria do Tocantins (TO)","58071"
"1718899","Santa Rita do Tocantins (TO)","120893"
"1718907","Santa Rosa do Tocantins (TO)","144877"
"1719004","Santa Tereza do Tocantins (TO)","36096"
"1720002","Santa Terezinha do Tocantins (TO)","32725"
"1720101","São Bento do Tocantins (TO)","57175"
"1720150","São Félix do Tocantins (TO)","23257"
"1720200","São Miguel do Tocantins (TO)","221612"
"1720259","São Salvador do Tocantins (TO)","36387"
"1720309","São Sebastião do Tocantins (TO)","50351"
"1720499","São Valério (TO)","94746"
"1720655","Silvanópolis (TO)","173720"
"1720804","Sítio Novo do Tocantins (TO)","105516"
"1720853","Sucupira (TO)","61841"
"1720903","Taguatinga (TO)","236670"
"1720937","Taipas do Tocantins (TO)","27860"
"1720978","Talismã (TO)","89542"
"1721000","Palmas (TO)","10449601"
"1721109","Tocantínia (TO)","129064"
"1721208","Tocantinópolis (TO)","325410"
"1721257","Tupirama (TO)","53895"
"1721307","Tupiratins (TO)","31483"
"1722081","Wanderlândia (TO)","134843"
"1722107","Xambioá (TO)","281086"
"2100055","Açailândia (MA)","2357043"
"2100105","Afonso Cunha (MA)","46162"
"2100154","Água Doce do Maranhão (MA)","86648"
"2100204","Alcântara (MA)","125752"
"2100303","Aldeias Altas (MA)","199597"
"2100402","Altamira do Maranhão (MA)","58789"
"2100436","Alto Alegre do Maranhão (MA)","262723"
"2100477","Alto Alegre do Pindaré (MA)","206103"
"2100501","Alto Parnaíba (MA)","339119"
"2100550","Amapá do Maranhão (MA)","51980"
"2100600","Amarante do Maranhão (MA)","306977"
"2100709","Anajatuba (MA)","171295"
"2100808","Anapurus (MA)","121106"
"2100832","Apicum-Açu (MA)","117759"
"2100873","Araguanã (MA)","79632"
"2100907","Araioses (MA)","270228"
"2100956","Arame (MA)","236636"
"2101004","Arari (MA)","252650"
"2101103","Axixá (MA)","78702"
"2101202","Bacabal (MA)","1257079"
"2101251","Bacabeira (MA)","253430"
"2101301","Bacuri (MA)","114157"
"2101350","Bacurituba (MA)","35684"
"2101400","Balsas (MA)","3495336"
"2101509","Barão de Grajaú (MA)","203725"
"2101608","Barra do Corda (MA)","712106"
"2101707","Barreirinhas (MA)","482388"
"2101731","Belágua (MA)","47351"
"2101772","Bela Vista do Maranhão (MA)","82484"
"2101806","Benedito Leite (MA)","42639"
"2101905","Bequimão (MA)","122934"
"2101939","Bernardo do Mearim (MA)","51278"
"2101970","Boa Vista do Gurupi (MA)","59699"
"2102002","Bom Jardim (MA)","318249"
"2102036","Bom Jesus das Selvas (MA)","278480"
"2102077","Bom Lugar (MA)","93834"
"2102101","Brejo (MA)","255386"
"2102150","Brejo de Areia (MA)","58834"
"2102200","Buriti (MA)","191950"
"2102309","Buriti Bravo (MA)","173258"
"2102325","Buriticupu (MA)","548058"
"2102358","Buritirana (MA)","96203"
"2102374","Cachoeira Grande (MA)","56015"
"2102408","Cajapió (MA)","59648"
"2102507","Cajari (MA)","109599"
"2102556","Campestre do Maranhão (MA)","197617"
"2102606","Cândido Mendes (MA)","135847"
"2102705","Cantanhede (MA)","130784"
"2102754","Capinzal do Norte (MA)","166016"
"2102804","Carolina (MA)","353288"
"2102903","Carutapera (MA)","166809"
"2103000","Caxias (MA)","1814299"
"2103109","Cedral (MA)","68865"
"2103125","Central do Maranhão (MA)","46964"
"2103158","Centro do Guilherme (MA)","86299"
"2103174","Centro Novo do Maranhão (MA)","138161"
"2103208","Chapadinha (MA)","738027"
"2103257","Cidelândia (MA)","145018"
"2103307","Codó (MA)","1035102"
