"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"150803 Tracuateua",0,0,1,0,0,0,0,0,2,3
"150805 Trairão",0,0,3,0,0,1,1,0,6,11
"150808 Tucumã",0,0,7,0,0,0,0,0,1,8
"150810 Tucuruí",1,2,32,0,1,0,0,0,4,40
"150812 Ulianópolis",0,1,3,0,0,1,0,0,1,6
"150815 Uruará",0,0,3,0,0,0,1,0,1,5
"150820 Vigia",0,0,1,0,0,0,0,0,4,5
"150830 Viseu",1,0,2,0,0,0,0,0,1,4
"150835 Vitória do Xingu",0,0,3,0,3,0,2,0,0,8
"150840 Xinguara",0,0,7,0,0,0,0,0,3,10
"160023 Ferreira Gomes",0,0,0,0,1,0,0,0,0,1
"160025 Itaubal",0,0,0,0,1,0,0,0,0,1
"160027 Laranjal do Jari",0,0,1,0,3,0,0,0,1,5
"160030 Macapá",19,7,15,0,8,0,1,1,1,52
"160040 Mazagão",0,0,1,0,0,0,0,0,0,1
"160050 Oiapoque",0,0,2,0,0,0,0,0,0,2
"160055 Pracuúba",0,0,0,0,1,0,0,0,0,1
"160060 Santana",2,0,3,0,0,0,0,0,0,5
"170030 Aguiarnópolis",1,1,1,0,0,0,0,0,1,4
"170035 Aliança do Tocantins",0,0,2,0,2,1,0,0,0,5
"170040 Almas",1,0,1,0,1,0,0,0,0,3
"170070 Alvorada",1,0,1,0,0,0,1,0,0,3
"170100 Ananás",0,0,0,0,0,0,0,0,1,1
"170110 Aparecida do Rio Negro",0,0,1,0,0,0,0,0,0,1
"170130 Aragominas",0,0,3,0,1,0,0,0,0,4
"170200 Araguaçu",0,0,1,0,0,0,0,0,0,1
"170210 Araguaína",9,5,44,0,4,0,1,0,13,76
"170220 Araguatins",3,0,0,0,2,0,0,0,1,6
"170230 Arapoema",0,0,1,0,0,0,0,0,1,2
"170240 Arraias",1,0,1,0,5,0,0,0,0,7
"170255 Augustinópolis",1,0,3,0,0,0,0,0,4,8
"170290 Axixá do Tocantins",2,0,0,0,3,0,0,0,0,5
"170300 Babaçulândia",0,0,1,0,3,0,0,0,2,6
"170305 Bandeirantes do Tocantins",1,0,1,0,1,0,0,0,1,4
"170330 Bom Jesus do Tocantins",1,0,2,0,1,0,0,0,1,5
"170360 Brasilândia do Tocantins",0,0,0,0,1,0,0,0,1,2
"170380 Buriti do Tocantins",0,0,2,0,0,0,0,0,0,2
"170384 Campos Lindos",0,0,0,0,0,0,0,0,1,1
"170386 Cariri do Tocantins",0,1,0,0,3,0,0,0,0,4
"170388 Carmolândia",0,0,0,0,0,0,0,0,1,1
"170410 Centenário",0,0,1,0,0,0,0,0,1,2
"170510 Chapada da Natividade",1,0,1,0,2,0,0,0,0,4
"170550 Colinas do Tocantins",1,0,1,0,0,0,0,0,9,11
"171670 Colméia",0,0,5,0,0,0,0,0,2,7
"170555 Combinado",0,0,0,0,0,0,0,0,1,1
"170560 Conceição do Tocantins",1,0,0,0,0,0,0,0,0,1
"170600 Couto Magalhães",0,0,1,0,0,0,0,0,0,1
"170625 Crixás do Tocantins",0,0,0,0,0,0,1,0,0,1
"170650 Darcinópolis",0,0,1,0,1,0,0,0,1,3
"170710 Divinópolis do Tocantins",0,0,2,0,0,0,0,0,1,3
"170720 Dois Irmãos do Tocantins",0,0,0,0,0,0,0,0,1,1
"170730 Dueré",1,0,1,0,0,0,0,0,0,2
"170740 Esperantina",0,0,1,0,2,0,0,0,0,3
"170755 Fátima",0,0,1,0,0,0,0,0,0,1
"170770 Filadélfia",0,0,1,0,0,0,0,0,1,2
"170820 Formoso do Araguaia",1,0,1,0,0,0,0,0,0,2
"170825 Fortaleza do Tabocão",1,0,1,0,1,0,0,0,2,5
"170830 Goianorte",0,0,0,0,0,0,0,0,1,1
"170900 Goiatins",0,0,0,0,0,0,0,0,3,3
"170930 Guaraí",2,0,4,0,1,0,0,0,4,11
"170950 Gurupi",4,1,17,0,12,0,0,0,1,35
"171070 Itaguatins",0,0,0,0,0,0,0,0,1,1
"171090 Itapiratins",1,0,0,0,0,0,0,0,0,1
"171150 Jaú do Tocantins",0,0,0,0,1,0,0,0,0,1
"171190 Lagoa da Confusão",1,1,1,0,0,0,0,0,3,6
"171200 Lajeado",1,0,0,0,0,0,0,0,0,1
"171240 Lizarda",0,0,0,0,0,0,0,0,1,1
"171245 Luzinópolis",0,0,0,0,0,0,0,0,1,1
"171280 Maurilândia do Tocantins",0,0,0,0,0,0,0,0,1,1
