ibge_cod,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes,a_pc1,a_pc2,b_pc1,b_pc2,c_pc1,c_pc2,cluster_a,cluster_b,cluster_c
421970,Sul,Santa Catarina,Xaxim,Médio porte,Municipalizado,-0.28444074823551163,-0.5663865921276356,-0.39015273346365575,-0.3907817117824211,0.6211732036973201,0.043530018675320095,-1.0967070506187042,-0.2162735184725322,-0.21858979159870937,1.5817713449401904,0.4337680044304304,1.2380461607544795,4.333333333333333,0.6397125957324733,-0.08952506106890987,-0.6854697283336593,0.31617299879342015,-2.0287327174129337,0.2775682759775048,3,2,1
430005,Sul,Rio Grande do Sul,Água Santa,Menor porte,Municipalizado,-0.6654438354558124,-0.664913091069208,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,0.9970361574550073,-1.0886724146480078,-0.835802532722438,1.3668832480624622,1.4161224204951717,2.4030257007517846,1.211448671408478,0.3333333333333333,-1.5888276931968646,0.6389402253172436,-1.5981542150120411,0.25725022500550854,2.5430813509580665,1.6551330786772462,3,2,1
430020,Sul,Rio Grande do Sul,Ajuricaba,Menor porte,Municipalizado,-0.6291381311240549,-0.6697758258745622,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,1.1469540772486129,-1.2661361515826364,2.9434449394748823,1.384500095108073,1.9167537725517951,0.7202417821585435,1.2513449054274801,0.6666666666666666,-0.36292262513131857,1.0895899536792968,-2.0887595479817214,-2.9096096457086458,2.372035243707562,-0.08611459663177112,3,3,1
430040,Sul,Rio Grande do Sul,Alegrete,Médio porte,Municipalizado,-0.6001090557209474,-0.5734394170107987,0.5331265654491266,1.4391989170624049,-0.6314388915728781,1.7376299774671107,-0.9593502663502395,0.40803916064934825,0.6440559421189227,0.518264337129816,0.17962405801426787,1.0784612246784713,7.333333333333333,-0.9282483861611888,0.9976183071339622,-2.032075274194577,0.09631185140696219,-1.1252125105710014,0.0923168776281324,1,1,1
430047,Sul,Rio Grande do Sul,Almirante Tamandaré do Sul,Menor porte,Municipalizado,2.9891134779243087,0.27868023262697605,-0.7101010053641249,-0.3907817117824211,-0.7250921323407434,1.2167377250746432,-1.1521927100418756,-0.835802532722438,1.2096300703629312,1.7951164012579741,2.291331322212826,1.0784612246784713,1.3333333333333333,0.338820056539757,-0.8936503048641118,-1.7698259284724902,0.3834703637055962,2.687965525700759,1.4562092877690929,2,2,1
430050,Sul,Rio Grande do Sul,Alpestre,Menor porte,Municipalizado,-0.8979239197108166,-0.7150353728272412,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,1.5718556554532486,-0.725032848931052,1.1662704787480798,0.5297500986245819,1.4347735457832276,2.4738941616518915,0.16084784224142676,0.3333333333333333,-1.6821677376732862,0.7443717366844622,-1.7426715891646973,-0.8612497325820243,1.912257614539712,1.8748796991894539,3,3,1
430055,Sul,Rio Grande do Sul,Alto Alegre,Menor porte,Municipalizado,2.554052671004933,0.1716715143311426,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,0.9881276065666841,-1.1994105525228358,-0.835802532722438,0.9810059144927054,1.7327074828881681,0.5328968587722113,1.1715524373894761,1,-0.245802408308065,-0.8486788381380538,-1.6154932051369064,0.4229631192565271,2.131459412678308,-0.1952515071049294,2,2,1
430060,Sul,Rio Grande do Sul,Alvorada,Maior porte,Municipalizado,-1.0609416190757208,-0.738441859503576,2.915979409507859,-0.3907817117824211,-0.02269282658175362,1.539039876273517,-1.011212498430717,-0.6109166373496153,-1.3854911694526995,-0.012944845071466704,-0.43409438789626076,0.533212693085444,5.333333333333333,2.8936139882933727,-0.9054012016989921,0.7226514781146345,2.257638685708539,-0.24581350204731203,-0.5120093846341308,1,3,3
430064,Sul,Rio Grande do Sul,Ametista do Sul,Menor porte,Municipalizado,-0.37987752670230607,-0.5735613213798253,-0.7101010053641249,-0.3907817117824211,0.9138395810968992,1.0070508940972318,-0.44246795175281045,1.1616494690897865,-0.11617502658031724,1.284788580536443,-0.24757344883583904,0.3071340336444341,1,0.36009212258788476,1.2006641773341407,-1.0629101303551356,-0.6901529637140166,1.0149517665473664,-0.6653286746276816,1,3,1
430070,Sul,Rio Grande do Sul,Anta Gorda,Menor porte,Municipalizado,0.5116902329714871,-0.37679007318020796,0.5696920822377516,-0.3907817117824211,-0.4909590304210802,0.04766832057531207,-1.290114423206209,2.5307899160385814,0.5162092607620357,1.836827530342157,0.4251994844512198,1.0784612246784713,1.6666666666666667,-0.387966722304978,-0.7138718257377488,-1.2062478173452211,-2.461523994471577,2.110315163046957,-0.3138956577229382,2,3,1
430080,Sul,Rio Grande do Sul,Antônio Prado,Menor porte,Municipalizado,1.1605591544087461,-0.20910663124567735,-0.7101010053641249,-0.3907817117824211,-0.02269282658175362,0.6505175007061996,-1.5236172503840288,1.2288746715709717,0.9739515865676043,1.7648971308071952,1.002278246244895,1.3178386287924835,5,0.17946933700011491,0.18603634701014188,-1.759694835390123,-1.431000014245374,2.3995338022966366,0.21507680189276224,1,3,1
430087,Sul,Rio Grande do Sul,Araricá,Menor porte,Municipalizado,-0.1329446132218163,-0.4919187302088536,1.849485169839628,-0.3907817117824211,-0.4909590304210802,1.4468252856644668,-0.9706011007752781,-0.835802532722438,0.9033967133745809,1.2335681173848663,0.34358139107881674,0.2672377996254321,1,-0.5301582081774439,-1.4708007250659703,-1.7510724634420767,0.6007689763325539,1.1459746944394216,-0.0871578611221959,2,2,1
430100,Sul,Rio Grande do Sul,Arroio do Meio,Médio porte,Municipalizado,0.37514606563593467,-0.40691767903539083,-0.7101010053641249,0.9435791634169312,0.09437372437807805,0.2856861071713404,-0.7590924897057181,1.4059092866638339,0.8930986914518632,1.755855085285768,1.3604021939191264,1.4641248201954908,5.333333333333333,0.11245817352962678,-0.25519161265007173,-1.151193961994981,-1.0884959903834541,-2.5938757916748196,-0.4964252544243606,2,1,1
430107,Sul,Rio Grande do Sul,Arroio do Padre,Menor porte,Não municipalizado,-0.5098278448491913,-0.6012292710408467,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,0.7923294869175336,-0.6853174849953899,-0.835802532722438,2.010247589678364,1.2599550619362292,-0.20957869137339538,0.13425035289542542,0.3333333333333333,-1.5156866748447944,0.5625395120744532,-1.2634947222139588,-0.06044458349238724,0.9001524420213483,-0.595988245465573,3,2,3
430105,Sul,Rio Grande do Sul,Arroio do Sal,Menor porte,Municipalizado,-0.1941034414744605,-0.3713702087043715,-0.7101010053641249,-0.3907817117824211,0.9138395810968992,0.7800990520173936,-1.1027717528771144,-0.835802532722438,-0.2076926566752245,0.2619665391760209,-0.029246005921767092,1.0784612246784713,1.6666666666666667,0.4920472314628307,1.0850572362128792,-1.2324529767740682,0.9203261232936146,0.8587270873957333,-0.2690138500593653,1,2,3
430120,Sul,Rio Grande do Sul,Arroio do Tigre,Menor porte,Municipalizado,-0.44497999538208305,-0.5330254749634524,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,0.21306060392486367,-0.9266879868610258,2.1565567585717442,0.23247717810973836,0.6322505219577036,0.0014618005739745704,0.6396026504694493,1.6666666666666667,-1.4704655410414438,0.5226440514201021,-0.9908097224300547,-1.941856296037824,0.8496438560990143,-0.2850285232435751,3,3,3
430110,Sul,Rio Grande do Sul,Arroio dos Ratos,Menor porte,Municipalizado,-0.9253154350368307,-0.7005548997085776,0.5696920822377516,-0.3907817117824211,-1.19335833618007,1.156234708521833,-0.9912582347282168,-0.835802532722438,-0.5430707731083788,0.5932882935634538,-0.22109966674434192,0.5199139484124433,0.6666666666666666,-1.57776473649544,-0.29181119154994883,-1.3587506220520147,1.184667110636676,0.6739756533338266,-0.46487584784284947,3,2,3
430130,Sul,Rio Grande do Sul,Arroio Grande,Menor porte,Municipalizado,-0.6530774520118917,-0.6280707018198388,-0.7101010053641249,-0.3907817117824211,-0.4909590304210802,0.7051392597261877,-0.7102838472531317,0.5541184018489498,-0.6601855128194982,0.9549948717160525,0.19787846017576627,-0.02533458318058261,1.6666666666666667,-0.9638612803160329,0.8590526357207734,-0.9296523452699945,-0.031607937965425825,0.7176115568402754,-0.09656919582945188,3,2,3
430140,Sul,Rio Grande do Sul,Arvorezinha,Menor porte,Municipalizado,0.7671861970823444,-0.2871633340190312,0.7829909301713978,1.3883661218167154,-0.25682592850141694,2.0355405448186636,-1.4236538817481708,2.204274461030916,-0.14195291764509438,1.6548718508784988,0.002235175134426748,0.46671896972044064,3.3333333333333335,0.14922555043644817,-1.1670865561158346,-2.5317612268896537,-1.3594593539020463,1.4568860286935323,-0.5652695694014623,2,3,1
430155,Sul,Rio Grande do Sul,Áurea,Menor porte,Municipalizado,1.111143559015663,-0.14730323121035474,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,0.3881686026984495,-1.2047189814865298,-0.835802532722438,-0.3196288972058741,1.350319819177122,0.2526850169687127,0.6396026504694493,1.3333333333333333,-0.8279162770306656,-0.19278327115543262,-1.023603642790281,0.8578084775809142,1.4346288101320992,-0.2640375660156819,3,2,1
430160,Sul,Rio Grande do Sul,Bagé,Maior porte,Municipalizado,-0.6032989561198293,-0.6033839920925457,0.7531589234673914,0.4645778236017791,0.30640335164098964,1.580556347120925,-0.9266497003159491,0.3306706794008633,-0.047904995578203435,0.8003902467237572,0.05237710350789041,1.0784612246784713,12,1.16835094985615,0.11173640748519326,-0.7174826609202771,1.6617719020892727,-1.2592392558912202,-0.10755495871456999,3,3,1
430163,Sul,Rio Grande do Sul,Balneário Pinhal,Menor porte,Municipalizado,-0.7737460971987893,-0.5051158226068302,0.5696920822377516,-0.3907817117824211,-1.19335833618007,2.183772974797104,-1.1317875154023296,-0.835802532722438,1.3341716956005358,-0.5147548439550953,-0.30508541396951316,0.493316459066442,1,-1.459322497516446,-0.3920263944222192,-2.428902713766768,0.5885569462201976,-0.14683375072890392,-0.20724255241679185,3,2,3
430165,Sul,Rio Grande do Sul,Barão,Menor porte,Municipalizado,-0.5458578008960329,-0.616557980740197,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,1.574944323602376,-1.254845768868282,-0.835802532722438,0.09725572002641825,1.3000113149301324,0.6533316275616962,1.1848511820624767,0.6666666666666666,-0.31700926299136045,1.0450020026591378,-1.9247207991376942,0.9822062142507939,1.8757977294104684,0.04609818272311039,3,2,1
430170,Sul,Rio Grande do Sul,Barão de Cotegipe,Menor porte,Municipalizado,-0.9057671103752672,-0.7272266822281502,-0.7101010053641249,-0.3907817117824211,-1.19335833618007,1.2204472392579406,-1.339936072688806,-0.835802532722438,-0.5381157330559383,1.2829323684119573,0.4766280336678888,0.7991875865454573,0.3333333333333333,-1.6890319508207288,0.7499594070818629,-1.6531191390734312,1.1713844864907896,1.5615342793248697,-0.05697765489637324,3,2,1
430175,Sul,Rio Grande do Sul,Barão do Triunfo,Menor porte,Municipalizado,-0.6642937820318656,-0.5687572290177011,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,1.2904374570050592,-0.17703218775328375,-0.835802532722438,-1.521426494311043,0.2095660043209528,-0.21668098559304713,-0.650375582811614,0.6666666666666666,-0.33861365962697976,1.0845308682146582,-0.7235481764868716,1.7359785269486239,-0.3364569275598123,-0.16882223616483188,3,2,3
430185,Sul,Rio Grande do Sul,Barra do Guarita,Menor porte,Municipalizado,-0.5791999141142842,-0.3755779190827955,1.849485169839628,-0.3907817117824211,-1.19335833618007,1.0247434005666567,-0.769434487111735,-0.835802532722438,-0.6941275654769051,-0.2946915617206234,-0.40217264529935637,0.9986687566404674,0.3333333333333333,-1.242032829881194,-1.5418575570973851,-1.0885402097755437,1.2365755650639316,0.2966398477601804,-0.4410510309865039,2,2,3
430187,Sul,Rio Grande do Sul,Barra do Quaraí,Menor porte,Municipalizado,-0.7273677468836107,-0.5750741728817815,1.849485169839628,-0.3907817117824211,-1.19335833618007,1.1928565913254376,-1.528527061040141,-0.835802532722438,0.08724134652472412,0.11241072940536675,0.6166956773033252,0.04115914018442073,0.3333333333333333,-1.360804347726727,-1.442258492358462,-1.8605394010133902,0.8616175852372482,0.3054714867991208,0.5408551877073086,2,2,3
430190,Sul,Rio Grande do Sul,Barra do Ribeiro,Menor porte,Municipalizado,1.390699978520233,0.28658235144908784,0.9536300085183147,-0.3907817117824211,-0.1397593775415853,0.9718005760223811,-1.2330301624733724,0.7614675847428168,-0.6162264781052705,0.31594032443868836,-0.0013356795363029812,0.14754909756842607,5.666666666666667,0.4690234863680912,-1.4013857772756808,-1.5060205690945534,-0.19710430206744262,0.31467094978329185,-0.11840152239064461,2,2,3
