codigo,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes
231120,Nordeste,Ceará,Potengi,Menor porte,Não municipalizado,0,0,0,0,0,12.79646017699115,0.6639935846030474,162.07455429497568,882.4059067170899,224.56329911759408,7668.377453628669,0.562,0
240150,Nordeste,Rio Grande do Norte,Barcelona,Menor porte,Não municipalizado,0,0,0,0,0,15.247298919567827,0.49101796407185627,300.45067601402104,1827.741612418628,209.06359539308963,10131.447170756133,0.566,0
240160,Nordeste,Rio Grande do Norte,Bento Fernandes,Menor porte,Não municipalizado,0,0,0,0,0,13.759839357429719,0.5364875701684042,271.49321266968326,1248.868778280543,225.70135746606334,9572.850678733032,0.582,0
240370,Nordeste,Rio Grande do Norte,Felipe Guerra,Menor porte,Não municipalizado,0,0,0,0,0,12.768347683476835,0.6017191977077364,250.12506253126563,1283.97532099383,407.370351842588,17382.691345672836,0.636,0
240375,Nordeste,Rio Grande do Norte,Fernando Pedroza,Menor porte,Não municipalizado,0,0,0,0,0,14.598715890850722,0.40865384615384615,0,2412.7812194326702,203.45614607107922,11187.805673296381,0.597,0
240390,Nordeste,Rio Grande do Norte,Francisco Dantas,Menor porte,Não municipalizado,0,0,0,0,0,13.438419117647058,0.6510560146923783,0,1386.4201919658726,387.13117667970135,10247.422680412372,0.606,0
240410,Nordeste,Rio Grande do Norte,Galinhos,Menor porte,Não municipalizado,0,0,0,0,0,16.661631419939578,0.22658610271903323,0,1933.2161687170474,116.34446397188049,33995.43057996485,0.564,0
240440,Nordeste,Rio Grande do Norte,Grossos,Menor porte,Não municipalizado,0,0,0,0,0,11.784491440080563,0.5773610180843939,124.24734779699895,841.058969702762,285.3866004014145,15804.83608907579,0.664,0
240480,Nordeste,Rio Grande do Norte,Ipueira,Menor porte,Não municipalizado,0,0,0,0,0,13.412517780938833,0.4793741109530583,0,1819.7958277851753,312.02840656901907,12508.655126498003,0.679,0
240530,Nordeste,Rio Grande do Norte,Januário Cicco,Menor porte,Não municipalizado,0,0,0,0,0,14.712806026365348,0.49012229539040453,175.1824817518248,739.6593673965937,206.90997566909974,7338.491484184915,0.574,0
240640,Nordeste,Rio Grande do Norte,Lagoa de Velhos,Menor porte,Não municipalizado,0,0,0,0,0,15.058091286307054,0.4820936639118457,292.82576866764276,1866.7642752562226,265.7393850658858,13153.001464128844,0.589,0
240690,Nordeste,Rio Grande do Norte,Lucrécia,Menor porte,Não municipalizado,0,0,0,0,0,12.118616144975288,0.6101973684210527,298.1366459627329,1763.975155279503,302.111801242236,12826.08695652174,0.646,0
240960,Nordeste,Rio Grande do Norte,Pedra Preta,Menor porte,Não municipalizado,0,0,0,0,0,13.428571428571429,0.46255506607929514,164.06890894175555,1845.7752255947496,279.3273174733388,12310.910582444627,0.558,0
240970,Nordeste,Rio Grande do Norte,Pedro Avelino,Menor porte,Não municipalizado,0,0,0,0,0,14.370514820592824,0.5050583657587548,0,1322.7115586953255,193.14594919585147,9266.496317450774,0.583,0
